model,subject,CSF,GM,WM
GMM,sub01,-0.016271843513611158,0.9334616684403472,0.8339696883552788
GMM,sub02,0.3647699012639684,0.750560636051425,0.9323384008352495
MLP,sub01,0.26004410794209626,-0.040624560485652966,0.7057443517466389
MLP,sub02,0.3213582042478689,0.29574555782123696,0.9006626435521036
XGB,sub01,-0.0996642537439456,0.748531982775673,0.8003960940284945
XGB,sub02,0.6563518044143462,0.812537792420238,0.9424848361885637
