metodo,sujeito,tempo,CSF,WM,GM
GMM,SUB001,0.0,0.0015842584358104,0.0009972746459607,0.0008417147325226
GMM,SUB001,17.081632653061224,0.0015667664502932,0.000979739825286,0.0008562064930643
GMM,SUB001,34.16326530612245,0.0015377405364308,0.0009671317053004,0.0008392255447125
GMM,SUB001,51.244897959183675,0.001548987392468,0.000967391297744,0.0008438219373853
GMM,SUB001,68.3265306122449,0.0015932500513016,0.0010026321003328,0.000865652673605
GMM,SUB001,85.40816326530611,0.0015758055165178,0.0009878092168598,0.0008539577618219
GMM,SUB001,102.48979591836735,0.0015581534013017,0.0009987217568,0.000857456631064
GMM,SUB001,119.57142857142857,0.0015827605588312,0.0009877589325552,0.0008468357578303
GMM,SUB001,136.6530612244898,0.0015631136060229,0.0009746977795747,0.0008295190781501
GMM,SUB001,153.73469387755102,0.0015745244220939,0.0009823066111867,0.0008495157251878
GMM,SUB001,170.81632653061223,0.0015814865619262,0.0009860031724207,0.0008596646982269
GMM,SUB001,187.89795918367346,0.0015680256756776,0.0009856439382596,0.0008478079151968
GMM,SUB001,204.9795918367347,0.001555323805874,0.0009865937186542,0.0008546253220471
GMM,SUB001,222.0612244897959,0.0015676474478761,0.0009849038839388,0.0008430406328834
GMM,SUB001,239.14285714285714,0.001534614095272,0.0010115582064648,0.0008733015408083
GMM,SUB001,256.2244897959184,0.0015377583137108,0.000973995616129,0.0008558468747687
GMM,SUB001,273.3061224489796,0.0015661662042408,0.0009865685111531,0.0008548711911826
GMM,SUB001,290.3877551020408,0.0015321966578854,0.0009724433055267,0.0008458990031666
GMM,SUB001,307.46938775510205,0.0015307872655106,0.0009819046239005,0.0008594613062105
GMM,SUB001,324.55102040816325,0.00154003846447,0.0009873983570112,0.0008509110261436
GMM,SUB001,341.63265306122446,0.0015486708194794,0.0009777870891597,0.0008525249042942
GMM,SUB001,358.7142857142857,0.0015463835969265,0.0009462791926214,0.0008338675870196
GMM,SUB001,375.7959183673469,0.0015775877371881,0.0009947620314578,0.000846697958425
GMM,SUB001,392.87755102040813,0.0015401213283853,0.0009823318312428,0.0008576989744577
GMM,SUB001,409.9591836734694,0.0015427587335618,0.0009636378716593,0.0008338434133486
GMM,SUB001,427.0408163265306,0.0015447586416228,0.0009696729283069,0.0008411173786743
GMM,SUB001,444.1224489795918,0.0015529167165049,0.0009597345071997,0.0008316871707186
GMM,SUB001,461.204081632653,0.0015866420144293,0.0009491398800041,0.0008226999285731
